Plot,N_sensitive,N_oligo,N_For,N_Cyan,spp_rich
1614,6,2,3,1,7
1616,7,4,3,0,9
1617,15,10,6,2,22
1619,14,12,7,0,22
1620,15,9,4,0,22
1621,22,18,5,10,30
1623,13,15,8,0,25
1625,6,8,3,0,11
1627,14,14,7,0,16
1628,7,7,5,0,8
1630,8,7,4,0,9
1632,10,9,7,1,13
1634,16,11,2,7,30
1636,4,2,1,0,8
1637,9,2,5,1,16
1640,9,4,6,1,12
1641,10,7,2,8,15
1642,14,7,6,2,22
1645,18,13,8,7,35
1647,18,11,7,5,26
1648,13,10,5,1,17
1650,26,20,14,11,46
1652,11,12,6,0,18
1655,9,10,6,0,12
1657,18,19,12,1,28
1661,9,4,5,0,18
1664,8,4,6,2,16
1666,14,11,4,9,23
1668,20,19,10,1,34
1669,16,14,5,7,24
1671,13,10,5,1,21
1672,17,12,3,5,22
1673,9,6,3,0,11
1675,9,12,6,0,19
1676,8,7,4,0,10
1677,19,17,10,0,26
1679,15,11,8,1,19
1681,14,11,4,2,25
1683,11,13,7,1,25
1685,10,5,3,1,17
1686,1,2,2,1,7
1689,15,10,4,9,25
1691,20,17,9,2,33
1692,11,11,5,0,17
1693,15,9,7,4,24
1694,12,12,5,0,23
1697,11,12,5,0,18
1699,13,14,8,0,18
1700,8,4,6,0,20
1702,16,11,3,8,26
1703,11,5,5,4,26
1704,4,2,2,4,8
1705,22,23,13,1,41
1706,13,10,7,0,22
1708,27,21,10,6,35
1710,11,11,5,0,18
1712,15,14,8,0,24
1713,10,11,7,0,12
1715,3,0,1,0,5
1716,9,8,2,7,13
1718,15,16,8,1,32
1719,14,12,6,0,24
1721,17,13,6,4,27
1723,11,7,5,0,19
1725,20,21,8,6,35
1727,15,13,5,0,24
1729,10,8,3,0,16
1730,15,17,9,0,24
1732,5,4,3,0,6
1734,9,10,6,0,17
1735,7,7,6,0,8
1737,10,4,2,4,13
1739,9,3,5,0,16
1741,19,11,9,8,28
1743,15,13,6,0,25
1745,14,11,8,4,28
1747,15,12,6,1,22
1749,3,4,1,0,5
1752,13,13,10,0,21
1756,11,6,4,3,18
1757,16,13,6,6,28
1758,6,2,2,1,9
1759,16,14,6,1,26
1760,13,13,9,0,25
1762,15,8,6,2,23
1764,14,14,4,8,27
1765,10,12,6,0,20
1767,12,13,8,0,18
1769,22,18,10,1,29
1771,13,14,10,1,22
1772,12,4,4,3,21
1773,12,6,5,4,20
1775,12,8,7,5,23
1776,7,5,4,2,18
1777,13,6,8,1,19
1778,19,21,8,9,35
1780,14,14,6,2,27
1781,21,24,5,12,38
1783,5,10,5,0,16
1785,9,10,4,0,14
1787,16,13,7,1,21
1788,8,7,6,1,16
1790,14,15,10,1,17
1791,14,12,7,0,14
1792,16,15,10,0,23
1793,17,16,8,0,23
1795,12,10,6,1,22
1796,14,8,5,2,22
1797,13,12,7,2,22
1799,15,14,4,4,26
1800,13,15,7,0,25
1801,23,22,9,8,34
1803,10,12,7,0,21
1804,18,17,7,6,32
1807,13,12,6,1,15
1809,12,9,5,1,15
1810,13,12,7,1,21
1811,14,9,7,5,23
1812,16,19,4,9,33
1813,14,12,11,0,24
1815,14,12,4,8,21
1817,13,12,5,0,22
1818,8,9,5,1,13
1819,15,12,7,0,18
1821,24,24,13,7,42
1823,9,10,5,1,11
1824,13,13,3,9,26
1826,13,11,5,0,20
1828,16,11,2,8,25
1830,13,15,7,6,24
1832,16,16,9,0,28
1834,10,8,6,0,18
1835,6,7,4,0,12
1836,12,7,4,1,21
1838,14,14,7,1,27
1839,19,12,5,7,31
1840,16,13,8,0,27
1842,26,21,8,8,41
1844,11,8,5,0,17
1846,12,14,6,0,23
1848,12,10,6,1,22
1849,17,19,4,13,32
1850,14,10,9,0,24
1852,17,15,5,2,25
1853,13,13,3,3,22
1854,8,6,2,5,13
1856,14,14,8,2,24
1858,10,9,3,0,19
1859,12,10,4,0,19
1860,13,10,6,0,18
1861,14,15,7,7,25
1863,11,11,5,0,17
1865,17,15,5,6,27
1866,11,13,5,0,20
1867,13,13,7,0,17
1868,9,3,5,1,16
1869,11,6,7,1,20
1871,13,12,7,1,23
1872,12,8,6,1,17
1876,10,8,6,0,18
1878,14,12,10,0,22
1879,13,15,7,0,20
1881,9,9,4,0,13
1882,11,9,4,6,19
1883,5,3,3,1,10
1884,13,9,5,1,22
1885,11,7,7,2,22
1887,18,16,5,11,31
1889,13,9,5,2,20
1891,16,15,9,0,26
1893,20,19,5,10,30
1895,10,8,2,0,17
1896,13,13,7,0,19
1898,14,12,6,0,23
1900,20,18,7,9,37
1901,16,12,4,7,26
1902,3,3,3,0,6
1905,10,11,6,0,19
1906,15,13,8,0,19
1907,11,10,9,1,24
1908,18,18,7,7,31
1910,10,9,4,0,17
1912,24,23,10,9,40
1914,13,14,6,1,27
1915,13,13,6,0,18
1916,6,2,4,0,11
1918,11,8,5,1,24
1919,9,6,4,0,16
1921,12,10,6,0,23
1923,26,17,10,14,44
1924,12,12,5,0,22
1925,11,14,3,7,25
1927,11,11,6,0,21
1929,12,10,4,1,19
1930,12,3,8,0,24
1931,9,8,5,1,18
1933,10,8,3,1,19
1934,13,14,4,5,26
1936,12,10,5,0,23
1937,9,9,6,0,14
1939,9,9,6,0,16
1941,10,10,6,0,20
1943,12,11,8,0,19
1945,15,12,9,1,24
1946,9,9,5,0,16
1947,5,4,3,0,5
1948,6,5,6,0,17
1949,14,8,6,2,24
1950,14,9,8,2,27
1951,12,3,6,2,18
1952,14,7,5,3,20
1954,12,10,6,0,21
1955,14,10,4,0,24
1956,8,10,5,0,18
1958,7,5,2,0,11
1960,9,9,4,0,15
1961,11,9,5,0,16
1963,10,9,6,1,14
1965,17,15,9,0,29
1967,13,14,11,0,24
1969,17,17,7,1,27
1970,11,11,7,2,19
1971,5,6,5,0,7
1972,4,5,6,0,13
1973,11,6,6,0,24
1974,7,3,5,0,15
1976,13,5,8,1,24
1978,13,7,7,0,24
1980,15,13,4,2,29
1981,14,13,5,0,24
1983,12,9,6,0,25
1984,5,6,7,0,14
1986,11,7,3,0,19
1987,8,10,5,0,13
1988,8,11,6,0,14
1989,17,17,8,0,24
1993,11,9,6,2,18
